# Constructed from biom file						
#OTU ID	B1	B2	B3	W1	W2	W3
Ga0256681_10389390	0	0.241684018736559	0.222082516454181	0	0	0
Ga0256681_12458115	0.231418273086845	0.233097559565147	0	0	0	0
Ga0256681_11050636	0	0.228962794136689	0.235475229189366	0	0	0
Ga0256681_11091888	0	0.213451047804326	0.248639774204432	0	0	0
Ga0256681_12141607	0	0.236094240336325	0.228307989550318	0	0	0
Ga0256681_11405001	0	0.2451749885099	0.217883650197967	0	0	0
Ga0256681_12047782	0	0.243751806901042	0.219626319594789	0	0	0
Ga0256681_11108124	0.243923137887295	0.219418825694407	0	0	0	0
Ga0256681_11478639	0	0.223308875243793	0.240623468837703	0	0	0
Ga0256681_12582826	0	0	0	0.239160471264865	0.22496493524219	0
Ga0256681_11920050	0	0.237544709878751	0.226747572043279	0	0	0
Ga0256681_11671177	0	0	0	0.254576565138223	0	0.205156632348551
Ga0256681_11328625	0	0.240412560694613	0.223550137964579	0	0	0
Ga0256681_12109669	0	0.236507621837405	0.227867029458903	0	0	0
VIRSorter_Ga0256681_12394329-cat_1	0	0.256776344271016	0.201829443331767	0	0	0
Ga0256681_11318317	0.248079270438463	0.214187166107491	0	0	0	0
Ga0256681_12653086	0	0	0	0.248101223063375	0.214158477790364	0
Ga0256681_12699657	0.236399610111988	0	0.227982533386702	0	0	0
VIRSorter_Ga0256681_10098069-cat_2	0	0.239438876064369	0.224652914433286	0	0	0
Ga0256681_11899078	0	0	0	0	0.202027726843692	0.256647974343151
Ga0256681_10695255	0	0.238478541398876	0.225723117870555	0	0	0
Ga0256681_11637921	0.253138481030786	0.207253853651879	0	0	0	0
Ga0256681_10035795	0	0.248597580040833	0.213506726805664	0	0	0
Ga0256681_10933041	0	0	0	0	0.259606059199373	0.197320732822332
Ga0256681_10425291	0	0.219342399566848	0.24398611500741	0	0	0
Ga0256681_11406905	0	0	0	0.223447959090016	0	0.240501975672917
Ga0256681_12624794	0	0	0	0	0.211704336566293	0.249946957669639
Ga0256681_12354256	0	0.203876966516564	0.255434251817645	0	0	0
Ga0256681_10351284	0	0	0	0.227827764946832	0	0.236544296219125
Ga0256681_12423243	0	0	0	0.234077349468378	0	0.230417703562087
